CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore
3341,Paul Rodriguez,smoreno@example.org,39,Male,Elizabethchester,8,Clothing,Shoes,590.35,49.43,35x17x4,3341,27/12/2020,£1133.91,Two-day,Pending,3341,236,408,2021-11-08,9,Port Catherine,16660,7,Miller Group,Clarkmouth,6.56
2470,Hannah Rodriguez,ejensen@example.net,66,Male,Loribury,16,Furniture,Tables,610.41,28.32,46x4x1,2470,17/11/2021,$1382.92,Standard,Pending,2470,526,143,2021-06-10,152,Perryhaven,18114,5,Morgan LLC,Port Robynmouth,1.23
270,Robert Francis,samantha19@example.org,63,Male,South Lawrence,3,Furniture,Cabinets,175.48,36.34,3x34x17,270,09-18-2022,£572.76,Express,Cancelled,270,140,457,2022-04-16,223,South Mark,16298,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
8122,David Drake,elizabeth24@example.com,27,Female,Mooremouth,12,Clothing,Dresses,185.17,33.77,28x27x6,8122,03/05/2021,$664.63,Standard,Delivered,8122,415,60,2021-01-12,360,Ericville,13688,5,Morgan LLC,Port Robynmouth,1.23
1398,Sara Andrade,brittanyhowell@example.net,32,Male,Gutierrezfort,10,Electronics,Laptops,927.03,39.01,28x44x6,1398,16/11/2022,€983.01,Two-day,Shipped,1398,399,362,2020-10-19,427,West Seanhaven,5928,2,Miller-Pearson,Clarkmouth,9.83
9298,Wanda Gomez,dianewalker@example.net,40,Female,West Lesliemouth,9,Furniture,Beds,696.56,30.56,17x16x11,9298,03-04-2022,£653.28,Standard,Cancelled,9298,866,155,2020-11-22,173,Loganfort,11950,6,Morgan LLC,New Marktown,2.48
4739,James Sullivan,williamcole@example.net,27,Female,South Carrie,13,Electronics,Headphones,938.87,12.86,38x6x46,4739,13/11/2020,€4966.3,Express,Cancelled,4739,282,60,2021-06-29,94,Aliciafurt,15318,6,Morgan LLC,New Marktown,2.48
5054,Christopher Roberts,nielsenandrew@example.org,32,Male,West Johnshire,48,Clothing,Jeans,180.86,14.84,32x24x48,5054,06-21-2021,€849.63,Two-day,Delivered,5054,993,251,2020-09-22,480,East Jonathanstad,11941,3,Johnson-Rodriguez,Katherineborough,7.4
2866,Gregg Stewart,johnsonamy@example.org,29,Female,East Joshua,4,Clothing,T-Shirts,625.77,12.88,41x14x17,2866,29/07/2021,£4371.5,Two-day,Pending,2866,322,111,2022-03-12,127,Andersonchester,5767,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
1839,Adam Shelton,vincent40@example.org,37,Male,New Joshua,2,Electronics,Mobile Phones,835.36,14.73,25x22x1,1839,12-10-2022,€316.59,Two-day,Pending,1839,309,322,2022-02-08,385,East Dawn,13035,8,Parks-Gallegos,Jenkinsside,6.82
